,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth
456,44,606,24,974,197,194,64,1,7,7,9,4
457,71,116,11,72,3,17,46,4,4,1,5,6
458,52,143,15,60,24,23,5,2,2,1,8,2
459,78,398,96,447,220,96,32,1,5,7,6,3
460,2,522,0,257,32,16,66,4,2,2,8,7
461,60,161,0,253,199,191,122,1,3,7,11,1
462,25,112,0,6,2,1,14,2,3,1,3,6
463,47,483,84,398,205,84,241,1,3,7,8,1
464,46,7,5,39,17,15,37,2,4,0,3,7
465,83,789,25,420,16,38,0,1,2,8,9,1
466,17,1239,17,413,23,34,17,1,5,6,5,2
467,13,4,1,5,2,0,3,1,1,0,2,8
468,86,335,42,127,28,5,5,3,7,2,8,6
469,92,639,8,166,11,8,58,3,7,3,12,7
470,47,563,76,384,84,192,89,4,6,10,13,4
471,18,2,0,8,2,2,3,1,1,0,2,8
472,81,746,8,125,11,8,8,7,8,6,9,6
473,91,22,1,13,4,0,4,2,1,0,3,7
474,58,4,1,6,4,1,9,1,1,1,2,5
475,40,478,0,193,110,75,117,4,8,3,11,5
476,67,20,3,4,2,0,2,2,1,0,3,3
477,19,451,0,39,0,4,24,1,7,1,8,5
478,93,371,22,39,6,0,92,4,6,2,7,5
479,41,281,7,84,15,0,119,7,7,3,4,8
480,60,19,7,19,0,1,24,1,2,1,2,7
481,54,26,3,13,2,10,0,1,2,0,3,6
482,26,138,15,35,25,11,72,2,6,2,2,9
483,30,213,2,44,0,2,5,4,4,2,5,5
484,93,407,28,100,120,74,18,1,5,9,4,3
485,35,483,74,114,169,37,18,1,5,10,13,3
486,4,738,0,232,13,20,50,2,3,5,7,7
487,92,502,12,109,16,6,90,2,7,2,10,6
488,24,11,0,5,2,1,1,1,1,0,3,7
489,96,24,1,108,29,29,14,1,4,1,4,8
490,11,1170,19,594,99,76,134,2,2,5,12,6
491,99,185,2,88,15,5,14,2,6,1,5,8
492,72,983,20,389,240,50,40,1,3,5,13,6
493,77,691,0,69,10,0,130,4,2,6,3,8
494,85,504,13,131,8,0,26,1,9,4,6,7
495,88,317,25,265,25,19,12,3,5,3,11,5
496,22,29,1,9,2,0,2,1,2,0,3,3
497,83,1396,0,322,46,35,17,1,4,9,4,6
498,63,529,0,356,63,28,0,3,6,7,11,3
499,9,388,14,218,91,14,21,1,4,3,13,2
500,92,13,2,21,4,0,24,2,1,1,2,8
501,2,28,0,4,0,0,0,1,1,0,3,5
502,6,16,36,21,20,62,108,1,4,1,3,8
503,66,1047,0,140,67,38,153,2,4,3,12,8
504,49,31,0,7,2,0,6,1,1,0,3,5
505,29,815,10,239,28,10,108,2,10,4,12,6
506,77,225,162,387,106,36,29,1,5,10,8,3
507,77,493,70,324,146,40,84,1,3,7,11,1
508,71,34,4,66,3,10,20,1,2,1,4,7
509,49,382,138,65,60,26,59,6,5,2,12,5
510,97,127,1,56,0,1,31,3,4,2,3,7
511,6,325,83,300,86,58,91,1,6,4,12,3
512,93,238,17,68,8,10,6,3,6,2,5,7
513,78,1168,92,408,72,129,55,1,5,6,7,1
514,62,284,0,55,0,6,52,4,6,2,5,8
515,47,1288,20,613,80,61,27,1,5,7,9,2
516,9,65,0,46,4,3,20,4,3,1,3,8
517,77,11,7,9,3,1,11,1,1,0,3,7
518,24,227,23,389,42,21,75,1,4,5,7,2
519,19,1035,134,670,25,38,0,1,6,3,10,3
520,67,27,1,12,2,0,10,2,2,0,3,7
521,95,982,73,351,56,14,175,1,2,4,6,5
522,48,179,2,64,38,17,58,1,5,1,6,5
523,73,1379,33,216,0,33,66,1,2,4,9,6
524,35,32,1,64,16,12,85,3,2,2,3,6
525,76,8,4,15,7,6,2,1,1,0,3,8
526,20,881,38,319,16,25,12,1,4,5,10,2
527,72,141,15,153,67,31,35,1,4,4,6,3
528,20,1000,155,379,224,17,120,1,4,8,4,8
529,69,206,10,67,30,27,71,6,4,1,8,6
530,80,162,61,83,97,57,61,4,4,3,8,5
531,65,619,54,260,127,54,54,1,4,7,5,1
532,52,456,4,24,0,0,9,7,8,2,6,7
533,65,112,6,92,3,9,38,2,3,2,5,4
534,57,11,3,22,2,2,6,2,2,0,3,6
535,70,172,12,112,8,0,15,4,6,1,5,7
536,0,78,0,11,0,0,7,1,2,1,3,5
537,19,464,151,292,65,60,30,1,8,3,4,4
538,50,99,4,32,37,54,6,2,2,1,7,2
539,67,19,3,19,4,5,26,3,3,0,3,7
540,46,1,9,8,11,3,22,3,3,0,3,8
541,37,63,10,83,7,19,19,2,4,1,4,7
542,38,252,3,42,4,3,102,2,4,5,3,6
543,9,1478,19,403,0,19,0,1,7,6,6,3
544,56,198,18,252,32,108,54,2,4,6,8,3
545,98,8,4,10,6,7,6,2,2,0,4,5
546,68,416,46,925,60,107,46,1,3,6,4,1
547,72,42,7,43,20,12,10,1,3,0,4,6
548,47,14,3,21,2,1,28,4,3,1,2,8
549,33,17,0,3,0,0,1,2,1,0,3,6
550,87,15,4,10,3,4,18,2,1,1,3,3
551,0,6,16,24,11,0,34,2,3,1,2,7
552,73,458,0,24,6,4,34,2,6,2,8,6
553,74,30,3,47,19,21,42,1,3,2,2,8
554,4,179,28,520,111,123,47,1,3,8,13,1
555,50,90,17,97,15,6,15,6,4,1,5,8
556,57,308,85,137,102,45,118,2,6,2,11,5
557,30,557,129,761,29,185,111,1,5,6,7,2
558,27,7,4,13,15,8,17,2,2,0,4,5
559,61,1492,38,287,50,57,33,1,5,10,4,6
560,4,30,8,12,8,8,12,1,2,0,4,5
561,75,249,153,940,58,134,38,0,6,6,7,2
562,12,465,25,132,136,0,37,2,8,3,13,4
563,13,129,129,259,168,121,83,5,6,3,12,4
564,9,174,18,81,28,6,24,3,3,2,7,3
565,48,189,2,29,3,2,40,2,3,2,5,4
566,80,747,10,161,65,40,42,4,4,2,9,8
567,60,6,0,2,2,0,1,1,1,0,2,5
568,43,14,0,3,0,0,4,1,1,0,2,6
569,19,12,0,4,0,0,1,1,1,0,2,7
570,26,98,0,106,49,10,106,5,5,1,5,6
571,58,32,0,5,0,0,1,2,1,0,3,7
572,42,51,12,49,17,24,24,3,4,1,3,8
573,27,200,5,44,0,10,20,1,5,1,5,5
574,56,25,6,25,6,0,0,2,2,0,3,8
575,27,1050,12,144,0,0,24,3,6,4,8,5
576,10,117,0,22,13,0,30,3,4,1,3,7
577,48,9,4,17,10,2,7,4,3,0,3,8
578,39,56,0,11,0,0,8,2,2,0,4,5
579,85,145,13,46,17,2,4,6,4,2,4,7
580,64,203,0,10,0,0,2,5,3,1,6,6
581,69,270,3,27,39,6,99,7,7,1,5,8
582,54,9,0,16,6,6,10,1,1,0,3,8
583,57,37,12,23,8,11,52,1,2,1,3,7
584,64,46,0,7,0,0,2,2,2,0,3,6
585,10,31,1,13,7,2,9,4,2,1,4,4
586,65,1060,21,530,32,0,224,1,5,11,5,3
587,74,264,47,188,54,47,11,2,4,4,10,2
588,4,399,4,30,6,4,30,3,7,1,7,7
589,94,8,9,9,2,5,22,1,1,1,3,4
590,41,19,0,35,6,4,17,2,2,1,2,7
591,25,817,183,797,106,163,20,0,5,11,5,2
592,94,292,127,635,132,127,165,1,3,7,9,1
593,9,12,6,2,11,2,16,1,1,0,3,4
594,47,130,30,168,20,34,0,1,3,4,7,1
595,12,6,4,16,3,10,30,3,3,1,2,7
596,80,16,12,18,7,1,13,1,2,0,3,7
597,20,19,0,9,0,0,2,2,1,0,3,8
598,39,4,7,15,13,9,15,3,2,1,3,6
599,57,31,3,31,2,8,4,3,3,0,4,8
600,27,36,0,2,0,0,4,1,1,0,3,7
601,83,526,28,135,10,21,99,3,5,3,12,5
602,79,400,32,519,71,75,54,1,3,4,9,1
603,69,410,16,114,0,5,49,3,5,2,10,5
604,77,80,3,26,4,2,14,4,3,1,3,7
605,15,88,10,46,2,3,64,4,5,1,2,10
606,99,55,0,6,2,0,4,2,1,1,3,5
607,61,5,1,13,3,5,1,1,1,0,3,7
608,23,8,4,5,15,2,11,2,1,0,3,7
609,84,410,0,592,147,22,22,1,6,4,7,3
610,74,101,13,76,20,18,40,2,3,1,6,6
611,90,162,25,53,16,0,10,1,3,1,7,3
612,41,2,8,1,4,7,15,1,1,0,3,8
613,28,25,0,8,2,0,2,2,2,0,3,7
614,73,389,91,248,64,49,41,3,6,3,13,5
615,88,215,13,87,17,17,24,5,6,2,5,7
616,94,27,0,5,0,0,3,2,1,0,3,8
617,31,85,1,16,2,1,2,0,0,0,1,1
618,31,5,6,10,6,5,10,1,1,0,3,4
619,6,179,8,83,19,11,26,5,1,2,9,2
620,23,352,0,27,10,0,15,3,6,1,7,6
621,92,17,8,12,11,15,32,1,2,1,2,7
622,52,625,35,169,58,17,35,1,4,3,6,1
623,50,10,6,11,0,4,2,1,1,0,3,7
624,54,390,22,323,104,35,107,1,6,8,6,3
625,93,10,2,15,2,1,6,2,2,0,3,6
626,56,215,63,507,231,31,190,1,8,4,7,3
627,28,1001,17,572,93,125,17,7,11,11,5,7
628,94,19,18,33,24,1,8,3,3,0,3,9
629,76,41,5,129,10,3,3,3,4,1,4,9
630,43,1181,107,199,39,30,30,2,7,3,13,8
631,46,603,45,207,36,18,54,1,3,4,6,1
632,13,129,129,259,168,121,83,5,6,3,12,4
633,27,10,24,15,13,1,30,1,2,1,3,7
634,12,514,22,732,42,198,79,1,6,7,7,3
635,3,14,0,1,0,0,1,1,1,0,2,7
636,72,387,20,713,38,54,163,1,9,11,11,5
637,6,121,103,69,8,44,48,1,4,2,7,4
638,53,965,69,279,54,41,69,5,8,4,9,7
639,58,707,21,250,85,43,73,2,6,2,8,2
640,78,571,50,142,33,50,159,4,4,5,13,2
641,57,586,66,653,17,0,26,1,5,9,6,2
642,37,1063,89,102,16,12,25,4,9,4,6,6
643,20,305,3,27,4,3,144,2,5,4,4,5
644,73,1200,105,758,0,42,147,1,4,2,6,2
645,56,163,2,40,8,11,11,7,3,1,6,6
646,36,1009,181,104,202,21,207,0,9,8,13,3
647,9,125,6,73,8,4,19,1,3,1,6,4
648,42,721,0,152,119,50,50,3,7,6,12,4
649,28,315,4,62,41,31,146,2,7,1,7,5
650,23,1000,19,711,125,115,38,0,4,6,9,1
651,38,16,0,17,6,3,6,2,1,0,3,9
652,63,757,80,217,29,80,11,5,9,6,12,6
653,71,30,2,25,0,1,9,1,1,1,4,2
654,9,219,3,100,26,0,17,2,7,1,5,8
655,81,1,1,1,1,1,1,0,0,0,0,0
656,87,111,3,28,2,6,15,2,3,1,4,6
657,92,45,47,52,21,20,25,2,3,1,5,6
658,36,410,112,420,0,82,71,1,9,3,13,4
659,86,100,1,39,6,1,76,4,3,2,3,6
660,83,509,0,65,7,11,5,4,7,2,9,6
661,74,3,6,5,0,2,6,1,0,0,3,7
662,87,445,53,213,104,98,151,1,6,4,13,4
663,29,2,2,11,41,7,11,1,2,0,3,8
664,88,4,1,11,6,2,2,1,1,0,3,6
665,77,6,1,7,23,4,19,1,1,1,2,8
666,25,14,0,3,0,0,3,1,1,0,2,7
667,34,1,10,11,19,3,15,2,2,0,3,6
668,43,26,0,6,0,0,2,1,1,0,3,8
669,76,111,16,37,7,9,18,3,3,1,5,3
670,81,418,61,428,80,51,10,3,7,8,10,5
671,87,327,9,122,19,14,83,5,5,2,9,6
672,33,371,159,194,58,106,141,4,4,3,6,3
673,38,275,59,107,69,101,59,2,6,4,8,4
674,63,789,0,142,12,9,38,2,2,4,8,8
675,26,1,1,5,0,3,1,1,1,0,2,8
676,17,1004,12,145,32,12,36,3,10,3,5,5
677,75,187,81,149,25,43,91,1,2,2,12,1
678,13,56,4,76,17,1,18,4,4,1,3,9
679,19,365,32,117,34,110,6,1,3,3,13,2
680,51,595,23,123,10,23,154,2,8,9,4,6
681,81,1132,134,384,175,134,115,1,11,5,13,7
682,32,34,11,137,179,61,45,1,8,1,5,8
683,84,116,6,82,6,6,41,2,3,1,6,5
684,87,565,32,435,28,32,54,1,2,8,6,1
685,99,372,18,126,47,48,78,2,5,2,11,4
686,96,899,102,838,133,102,40,1,5,6,10,2
687,21,55,16,1622,17,3,4,15,0,28,1,0
688,40,760,40,480,0,40,26,1,3,5,12,1
689,3,260,86,559,63,9,67,1,4,6,4,2
690,98,459,0,24,6,0,4,6,4,5,7,6
691,73,466,0,224,119,49,99,1,5,3,4,2
692,90,67,15,80,17,11,80,3,1,4,4,3
693,29,2,0,7,3,7,10,1,1,0,3,6
694,3,67,1,20,0,2,31,3,2,2,2,7
695,94,92,4,18,3,3,6,1,2,1,4,3
696,65,4,2,11,2,0,4,1,1,0,2,6
697,33,20,1,28,3,3,2,3,2,0,3,8
698,46,273,11,178,62,83,29,2,8,4,6,6
699,29,434,22,388,104,22,34,1,10,7,10,4
700,99,321,11,309,33,26,34,3,9,3,5,4
701,26,212,123,177,15,64,23,2,8,2,8,4
702,30,909,12,278,0,12,242,3,5,2,11,8
703,27,1184,32,352,21,16,16,1,3,4,7,1
704,24,112,19,21,16,14,5,3,4,1,4,7
705,93,656,80,455,52,107,93,2,8,4,8,4
706,34,23,0,8,6,2,18,1,1,1,3,2
707,88,537,6,42,16,6,30,2,9,3,6,8
708,96,712,0,45,0,0,191,3,2,4,5,7
709,10,23,1,13,2,2,18,1,1,1,2,7
710,26,1,3,4,2,2,6,1,1,0,2,8
711,49,664,58,83,32,0,66,4,7,5,10,5
712,11,6,10,21,19,14,42,2,2,1,3,6
713,44,299,5,201,21,21,49,3,5,4,8,4
714,75,99,13,66,43,8,4,3,4,1,5,7
715,64,749,40,294,121,160,147,1,3,2,5,1
716,19,345,25,501,63,138,80,1,5,3,8,2
717,45,9,4,18,7,5,5,2,2,0,3,7
718,77,440,81,368,0,122,174,6,11,5,9,6
719,9,8,2,5,3,0,3,1,1,0,2,7
720,1,670,9,249,0,28,9,2,5,4,5,4
721,90,524,0,134,28,28,155,1,11,1,8,7
722,43,6,0,6,2,1,1,2,1,0,3,7
723,79,597,166,597,172,166,249,1,5,6,4,3
724,19,7,0,12,13,7,32,5,4,1,2,9
725,99,54,0,7,0,0,4,1,2,0,3,6
726,62,445,25,706,80,76,48,1,6,5,12,2
727,41,294,142,218,164,58,151,1,3,8,11,1
728,60,292,3,77,10,3,26,7,6,3,5,7
729,17,412,22,132,59,28,183,1,11,6,8,4
730,24,8,0,3,0,0,0,1,0,0,3,5
731,60,349,4,78,6,0,43,8,7,2,6,8
732,57,328,9,124,12,24,109,7,4,2,10,3
733,74,144,2,99,7,2,30,5,6,1,4,8
734,22,1126,28,211,37,28,42,3,4,3,4,5
735,46,967,0,617,43,50,0,1,4,8,13,2
736,69,432,79,341,177,136,170,2,8,5,4,4
737,29,138,39,63,55,18,21,1,4,1,7,2
738,37,0,0,1,7,4,6,1,1,0,2,7
739,26,509,133,497,78,24,97,2,7,5,6,4
740,8,948,10,86,13,21,21,4,6,9,11,5
741,26,39,2,25,4,3,24,2,3,0,3,8
742,79,28,1,21,3,0,10,3,2,1,3,5
743,71,13,11,24,13,8,40,2,3,0,4,6
744,83,307,26,360,138,31,40,1,6,9,5,3
745,57,901,31,345,75,31,191,1,4,4,11,1
746,37,2,5,12,4,8,7,3,2,0,4,5
747,30,283,17,372,138,106,44,1,3,8,12,1
748,34,4,3,7,0,3,11,1,1,0,2,7
749,0,769,80,252,15,34,65,1,10,10,7,6
750,89,518,42,742,55,56,84,1,6,10,5,2
751,92,350,8,66,17,4,4,2,3,2,10,3
752,87,445,53,213,104,98,151,1,6,4,13,4
753,20,778,178,689,41,27,44,1,8,5,11,8
754,56,709,93,374,104,80,80,1,8,6,6,3
755,28,359,35,314,93,116,89,1,7,3,13,4
756,55,799,12,375,16,12,12,5,7,6,5,6
757,25,895,10,101,13,0,152,5,3,4,8,8
758,0,40,2,23,0,4,23,2,2,1,3,4
759,86,76,0,7,0,0,16,1,3,2,2,5
760,8,11,5,22,12,5,11,2,3,0,3,7
761,33,245,16,223,21,43,16,2,8,1,8,6
762,13,647,107,391,175,67,40,1,6,4,10,3
763,12,39,1,9,2,1,34,1,2,1,2,7
764,92,203,35,305,46,17,227,1,2,11,5,1
765,90,138,3,38,4,0,59,3,3,2,4,6
766,8,587,51,898,247,0,86,1,3,6,7,2
767,6,595,97,291,127,133,121,1,11,5,12,6
768,91,43,12,23,29,15,61,1,2,1,4,4
769,52,301,7,74,10,0,58,4,6,1,7,6
770,3,180,32,348,76,32,90,2,5,2,12,2
771,57,794,115,243,150,0,205,1,8,5,6,3
772,9,392,5,91,28,26,112,8,7,3,7,8
773,22,39,1,22,3,4,12,3,2,0,4,7
774,76,107,2,12,2,2,12,0,0,0,1,20
775,86,13,0,3,0,0,0,1,1,0,2,7
776,64,70,0,17,0,0,6,2,2,1,3,6
777,90,680,11,392,75,0,0,1,2,11,4,1
778,79,26,1,11,0,1,4,2,1,0,3,3
779,28,522,0,522,227,120,134,2,6,9,5,2
780,86,412,12,546,78,182,0,1,4,4,10,1
781,42,6,5,5,8,0,5,2,1,0,3,4
782,39,2,3,6,4,1,9,1,1,1,2,7
783,8,1,3,8,2,5,5,1,1,0,2,7
784,40,6,2,15,6,6,3,1,1,0,3,8
785,5,4,12,5,3,16,17,2,2,0,3,7
786,96,18,2,19,0,2,6,5,3,0,4,7
787,28,324,48,186,39,18,198,6,6,8,4,7
788,22,327,9,125,25,4,139,6,7,1,8,7
789,30,229,27,71,13,3,34,4,7,1,5,9
790,45,521,168,706,80,76,61,1,3,6,4,2
791,58,184,23,446,30,23,23,1,5,4,7,2
792,49,4,8,11,12,2,13,1,2,0,3,7
793,37,183,2,64,7,2,12,4,3,3,5,4
794,70,31,19,35,26,14,52,2,1,1,5,3
795,33,219,3,60,12,9,12,1,4,1,7,7
796,98,479,28,136,75,14,35,3,10,3,7,6
797,17,584,44,212,46,8,177,3,11,4,8,8
798,54,627,91,597,159,91,15,1,6,5,12,3
799,39,24,1,16,12,2,5,3,4,0,3,8
800,81,330,5,159,36,27,16,4,4,4,9,4
801,71,19,1,10,2,1,8,1,1,0,3,5
802,62,28,23,29,29,14,47,3,2,1,4,6
803,8,606,148,228,15,148,22,1,6,8,13,2
804,76,1039,43,204,153,58,29,3,2,8,12,8
805,66,411,0,26,0,0,21,6,7,1,7,7
806,83,34,1,19,2,7,0,1,1,1,3,2
807,28,161,28,136,32,3,45,4,3,4,6,3
808,87,623,53,178,23,17,133,7,3,2,8,8
809,43,604,26,470,123,161,94,2,5,9,6,2
810,0,3,10,8,3,16,32,1,1,1,2,6
811,1,12,2,17,6,1,10,2,2,0,3,8
812,1,184,174,256,50,30,32,1,5,4,6,2
813,72,393,0,239,90,69,69,6,5,7,9,4
814,72,410,73,747,76,161,30,0,5,5,12,1
815,12,376,9,83,19,4,4,2,5,4,7,3
816,89,7,2,4,2,1,4,1,1,0,2,6
817,67,68,0,226,51,157,68,3,10,2,4,9
818,54,642,14,49,0,7,57,1,9,2,9,5
819,34,8,7,9,13,6,12,2,2,0,3,8
820,15,840,53,804,23,71,17,1,5,4,8,3
821,43,7,10,13,3,11,11,2,2,0,3,7
822,0,464,5,64,7,0,37,1,7,3,7,5
823,74,30,3,47,19,21,42,1,3,2,2,8
824,61,1492,38,287,50,57,33,1,5,10,4,6
825,51,752,122,476,39,153,34,1,10,2,11,8
826,97,1279,15,287,20,0,15,3,3,4,7,5
827,75,22,1,8,2,1,2,2,1,0,3,8
828,83,860,28,409,73,56,56,1,8,9,4,4
829,23,3,0,5,13,0,1,1,1,0,3,6
830,65,10,5,28,11,1,8,1,2,0,3,5
831,94,351,16,156,7,5,145,1,6,4,7,6
832,42,421,5,90,0,16,10,3,7,3,7,5
833,10,2,5,7,0,18,18,2,2,0,3,7
834,94,25,1,9,2,1,1,2,1,0,3,8
835,50,336,123,274,46,123,141,5,6,5,12,3
836,46,191,9,97,0,6,82,2,6,1,5,7
837,98,563,50,774,28,31,187,1,7,7,12,3
838,42,31,0,6,0,1,8,1,1,0,3,6
839,30,479,5,82,7,17,171,2,7,6,5,5
840,11,18,6,15,12,8,17,3,2,1,3,5
841,61,91,65,52,10,44,28,3,3,2,6,5
842,12,5,7,24,19,14,20,4,3,0,4,6
843,76,2,14,28,16,3,7,4,4,0,3,9
844,2,362,50,431,134,35,54,1,3,6,7,1
845,43,724,74,929,97,55,130,1,5,6,7,2
846,27,605,91,399,0,45,205,2,3,6,8,3
847,60,547,7,140,0,7,63,3,7,5,8,5
848,79,104,1,54,13,9,14,2,3,1,5,5
849,96,8,2,15,0,10,18,4,3,1,3,5
850,17,224,2,25,7,0,110,2,5,3,3,6
851,0,384,0,102,21,32,5,3,6,2,9,4
852,38,556,54,845,202,133,63,1,7,7,10,3
853,43,24,0,2,0,0,9,2,1,1,2,5
854,1,408,0,21,0,0,17,3,7,1,7,8
855,25,265,199,303,234,9,170,7,10,2,12,7
856,2,34,0,7,0,0,0,1,1,0,3,7
857,66,374,64,116,84,25,64,3,6,2,11,5
858,49,27,2,10,0,0,1,2,1,0,3,8
859,5,600,20,350,29,30,33,1,6,9,10,2
860,71,13,2,18,6,1,0,2,2,0,3,8
861,35,167,2,89,0,0,34,6,6,1,4,8
862,94,0,2,3,4,1,5,1,0,0,3,6
863,80,46,35,69,84,41,66,6,4,1,6,7
864,61,88,39,78,58,13,93,2,6,1,4,7
865,29,243,11,119,10,3,15,3,4,2,8,4
866,0,275,11,68,25,7,7,3,5,1,8,5
867,80,6,0,4,0,0,0,1,1,0,2,7
868,54,121,62,90,68,20,125,3,2,3,8,3
869,71,4,12,15,19,7,12,2,2,0,3,7
870,27,1308,0,396,23,0,0,1,5,7,4,3
871,61,515,47,267,62,66,38,2,5,5,4,3
872,55,4,0,16,17,4,4,3,4,0,3,7
873,35,48,13,57,24,15,25,4,3,1,4,7
874,34,562,58,168,43,16,142,1,5,7,10,3
875,95,769,22,500,210,143,33,1,4,8,5,2
876,64,379,4,93,12,9,98,7,6,6,4,6
877,30,29,12,59,19,1,36,2,3,0,4,8
878,12,387,68,569,89,45,68,1,6,9,12,1
879,96,12,23,38,30,18,7,4,3,1,3,9
880,16,6,10,12,3,15,40,3,3,1,2,8
881,16,27,1,14,4,1,21,2,2,0,3,8
882,78,9,1,5,0,0,1,1,0,0,3,5
883,83,22,0,19,6,5,3,2,2,0,3,6
884,96,899,102,838,133,102,40,1,5,6,10,2
885,67,889,55,685,168,92,129,1,3,2,13,1
886,87,189,2,55,0,5,12,4,6,1,4,9
887,34,48,0,2,0,0,5,2,2,0,3,7
888,46,230,14,156,82,24,58,8,9,2,5,8
889,7,852,60,207,78,36,48,2,2,6,10,5
890,73,35,3,20,4,1,20,2,2,0,3,9
891,54,205,20,47,23,2,56,6,5,2,5,5
892,93,255,31,446,40,56,175,1,3,10,11,1
893,52,0,0,1,8,3,2,1,1,0,2,7
894,53,437,8,206,160,49,42,2,7,10,5,6
895,81,825,8,53,11,0,242,2,8,10,5,6
896,8,316,58,161,76,51,135,1,6,9,4,5
897,97,756,138,354,160,169,61,2,10,6,7,4
898,50,194,55,134,15,0,3,3,4,2,8,6
899,38,7,17,18,6,10,26,4,4,0,3,8
900,61,183,33,493,59,103,57,1,4,3,10,2
901,46,171,0,11,0,1,20,2,4,1,4,6
902,73,243,101,405,29,40,40,1,4,5,6,2
903,19,181,21,69,39,3,96,1,3,3,6,3
904,10,151,7,89,0,7,28,5,4,1,6,5
905,94,494,92,391,194,11,241,1,3,4,10,0
906,10,464,28,873,29,18,37,0,7,4,7,2
907,37,5,1,5,10,0,7,1,1,0,2,7
908,94,29,0,29,0,5,4,1,2,0,3,5
